"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"132",17,"minP",0.328,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","minP"
"133",17,"ours.0.01",0.218,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.01)"
"134",17,"ours.0.05",0.34,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.05)"
"135",17,"Romano",0.47,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Romano"
"136",17,"Wstep",0.328,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Wstep"
"137",18,"bonf.naive",0.318,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Bonferroni"
"138",18,"holm",0.318,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Holm"
"140",18,"minP",0.326,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","minP"
"141",18,"ours.0.01",0.18,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.01)"
"142",18,"ours.0.05",0.246,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.05)"
"143",18,"Romano",0.432,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Romano"
"144",18,"Wstep",0.326,10,"ha.resid",1000,1,40,0,0.1,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Wstep"
"145",19,"bonf.naive",0.28,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Bonferroni"
"146",19,"holm",0.28,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Holm"
"148",19,"minP",0.304,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","minP"
"149",19,"ours.0.01",0.212,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.01)"
"150",19,"ours.0.05",0.146,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.05)"
